brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
100_g_at	9.36720601959809	9.50248885347841	7.89062611297186	7.95883827710151	7.69571781875947	8.10282532336486	9.21794997308349	8.90409966409696
1000_at	11.5662374344788	11.5119977392605	10.5576478264529	10.343639101215	10.2605399516584	10.1254798765681	10.2332613047632	10.4909508386264
1001_at	7.78522277179261	6.69045886391499	7.91338923385913	7.5697538307906	8.24542860275296	8.52635738311349	8.39065772787193	8.47028428264324
1002_f_at	6.55536038192231	7.45333339489453	5.92816964286695	7.53205132979081	7.83993917198559	8.16345646487688	11.0171963279887	11.0885539868674
1003_s_at	7.25786277923645	7.39495591053042	8.74876254068086	8.1929365991397	9.44841297123835	8.19229381739854	9.18984116697077	9.41964933062286
1004_at	7.31767281539855	8.80479020915813	7.75653206760594	8.04631027637248	9.59339551882537	8.87290208158528	9.5813178245088	9.79562926090362
1005_at	9.83390969284481	10.4240772045687	9.4647945374644	9.49573362571609	11.9443838134106	12.2399543213743	11.7219301462093	11.7841012181661
1006_at	4.41672872361017	4.30499217382017	4.17044185541574	3.07955252090719	5.74131846146033	4.69340388217658	4.28566407967555	4.31151701085248
1007_s_at	11.7950697144349	12.2527616862033	11.6876724624688	11.5177122251722	9.6350824840914	9.39038465449477	9.55027459617261	9.49720388224473
1008_f_at	10.7708190243295	10.680209907296	11.4649136535461	10.5911940522515	12.0016788992948	11.56849776904	12.8785700009201	12.0360455156623
1009_at	12.8360096210784	12.6764052919705	11.4782361480048	11.4218581356736	12.2156359475299	12.351494746337	12.2283032290817	12.5141608728106
101_at	6.9715156963725	7.6037814757484	4.87924078289461	4.9553631331892	6.10269912068772	6.81830503433693	7.21710263063385	6.10757157714997
1010_at	4.96206405636299	4.96088374029596	4.95865819558806	4.95975576480101	5.81506088641306	5.38731387276152	6.15965543741441	4.7769977694882
1011_s_at	9.59361371999227	9.43030507286912	10.413976816052	10.2950257905997	8.8525616255919	8.71890943120593	7.42259968851518	8.35000090428113
1012_at	4.23633971036253	4.0198616484502	5.50478148825268	6.17813916584482	4.00052894248293	4.00884562583136	3.64163063820287	3.77099962770744
1013_at	6.42946182369029	3.6417963416262	7.54450983421855	7.52378649062463	6.53469658253247	7.23182471849038	5.54031982004194	4.67019264373587
1014_at	9.42518153081563	9.29466315974524	8.85991138330029	8.97807505452615	9.26417708595813	9.04858766095598	6.76180975398783	6.61194745749409
1015_s_at	6.54220526958009	7.65019249083624	6.66357723815817	5.62976510304937	5.93523492421908	5.60278148616491	6.36175653199793	6.02983290019732
1016_s_at	4.91662707585597	4.56761207839938	6.55685091233598	6.54879808557332	5.69154319268329	6.41348940351942	6.75504938956713	6.82841413087891
1017_at	7.43265732596817	7.4425419676607	8.49544166336351	8.72888798587374	7.23024763152261	6.96951783098703	6.64401648257451	4.8076795468878
1018_at	9.2671654735867	9.3805510038146	8.93439686661686	9.05273698696304	8.08421776972803	7.47395479397237	6.666154106605	7.20450421990962
1019_g_at	10.0984969926254	10.6862781909624	10.211060388857	9.9274908445683	8.0545092230854	8.79016754407835	9.22341640479175	9.72305641890296
102_at	4.85046157777529	6.26854487549969	6.55345748311441	6.6747160154565	5.37175511141766	5.44941407497704	7.24063179489446	5.43515606351367
1020_s_at	9.4490221434227	9.62694668411495	8.5647128158754	8.64180986026166	10.2489122440162	10.2998677423471	11.1435474601684	11.1304101645239
1021_at	6.25547023273565	6.59181785190942	7.42711957173691	6.24635929441539	7.5109511268235	7.2919437718462	8.01628728412907	7.99893571627542
1022_f_at	4.83087774445783	5.98463268382576	7.57391455506846	4.69546555133435	6.57880120997896	6.64062275076108	7.16760998215217	7.67826116929829
1023_at	5.65765086031409	5.52218257260728	4.75925018683409	5.31762928374584	7.90631423536797	5.43518323711041	7.92487128604348	6.90546902305243
1024_at	8.14963052136048	7.31260363201586	8.54294062516681	8.20046125238021	8.73647687791047	8.6832403616524	9.48942123051329	9.63891677321361
1025_g_at	7.33810991753154	6.95300573267485	5.98826718767145	4.92693404871198	5.73051151851193	7.10768743578083	9.08223646147851	9.09582698991747
1026_s_at	8.47838484984011	8.12710261578893	8.59687132880191	6.71330704735977	9.37239362330487	8.39199579519664	9.74508848003283	9.81863602264327
1027_at	7.35954688301186	6.17483312492738	8.22289997711398	7.83767769542014	7.63047098454453	7.35979214278468	6.43911475586499	8.49877876395556
1028_at	8.18559329026875	7.57117527577377	8.10175042430516	8.01868266740911	8.62779762270203	8.51609455790148	8.61808522908371	9.10524010159003
1029_s_at	3.99932457962258	5.82100230701259	5.47459328271647	5.31768023960828	3.85948062924264	4.37723011182861	4.39276332378617	6.24535516663441
103_at	7.54342384703617	7.58195662296805	5.69765468155737	5.03854828100797	5.58239628765033	5.42288251743632	6.44858963017524	6.17104283561455
1030_s_at	8.98881836242978	8.65820545726963	10.4473550887163	10.4002986518547	9.89933950462149	10.1598712167705	8.54131574912445	7.64747722850933
1031_at	6.58915205411181	6.24084519383552	9.13130735744311	8.99412697744414	7.10007958231352	7.09057363118718	5.30987750113424	5.80397530604676
1032_at	9.36903270214058	8.95593696486784	9.58695213075721	9.07038134035349	10.8296152530771	10.3964173655936	10.2898848603824	11.2405485044462
1033_g_at	7.0894676903118	7.51063032424914	7.87539637536921	5.63785796551226	8.41565020208292	8.07280569263723	8.40077974215417	9.09535064029843
1034_at	9.48228045439846	10.0408427137529	9.48205103677471	9.40530447635945	9.88258240606705	9.95762673910032	10.1507292613203	9.93546720237534
1035_g_at	8.74382861831649	9.1076009897178	9.11758881902341	9.08919901488985	9.74924004105297	9.7666238537281	9.32585133449336	9.53106887052859
1036_at	5.60802085148751	1.19645305788115	2.86283314997475	2.88572498968838	3.23392809933825	4.87608366341219	6.52542426075087	5.53796069771603
1037_at	5.09245544995359	5.25705596711727	7.1504255763945	7.37478499838278	7.17359924322677	6.19564121251333	7.49984826602418	5.11478974639735
1038_s_at	8.40116610005794	7.54082007867036	8.83612381947365	9.01138719940779	8.51974400220229	8.92935387408401	6.44665599075061	6.41065713861438
1039_s_at	8.68060995962626	7.26828481050692	9.2423408825183	9.578046503922	8.31885123240917	8.265876864151	6.63685569857372	6.65830201657277
104_at	7.97894939896139	7.82596471730908	8.39111481177545	8.23383996584203	6.89085763905776	5.54702201207694	6.12883520392644	6.70333894078777
1040_s_at	5.4485738879225	5.46730378663141	7.75587496406245	7.66647900437863	4.90794032444836	5.46989410808019	4.49795988599746	6.19452673112144
1041_at	4.68925066500987	5.99849847647096	5.18283676240897	5.42700326323184	6.05065834375472	4.32812676077083	5.74530613083305	5.62462311909523
1042_at	3.80089792718304	2.68756623620208	5.94823583940935	6.1329100341309	6.14067724124009	6.57410860106464	6.11393325717468	3.88864027687356
1043_s_at	7.26907947447949	6.71684894272952	4.39024431387488	7.20556377254392	7.17354667488036	7.30329022863518	5.30068631666903	6.06114290918756
1044_s_at	6.84759095368587	7.06540555162887	8.41788926666006	8.53732685756148	6.80339492849437	6.74755941886089	5.8374497106709	6.22092552032701
1045_s_at	5.3874555564879	7.10483065764385	7.38381113607572	7.69327517030321	6.85416739957129	7.61948774937971	7.35995903945516	7.85490091602756
1046_at	7.5737227181825	7.27074473455921	8.75368043026549	9.13217994904478	6.97385456680054	6.98453101635518	7.53867702647433	7.21764225960425
1047_s_at	8.31428430503027	7.27469894179901	8.00743856060217	8.5709091259301	11.5973916575348	11.6371705450109	11.3840980383183	11.6862844982838
1048_at	8.15030180368277	7.29902443033395	7.86196038906155	7.35067405523725	7.63481923657304	7.02813013456922	7.77206200468859	7.47174230641381
1049_g_at	7.55372051178077	8.24329473473752	7.55240515761869	6.49773845210289	6.76629976479632	6.65095798195375	7.06502670506202	7.61671597449043
105_at	7.22052083509722	6.40304168732878	7.65048231413947	7.06750370152132	9.56322034529072	9.79158501623211	10.5273882886628	10.541163072364
