brain.1	fetal.brain.1	bg1	bg2
100_g_at	660.404444614331	237.30951108381	0	0
1000_at	3032.38545426016	1507.19234408935	0	0
1001_at	220.58987634233	241.083521603759	0	0
1002_f_at	94.0502831414103	60.8915293454641	0	0
1003_s_at	153.050376033183	430.169831832101	0	0
1004_at	159.528769699933	216.24636438623	0	0
1005_at	912.64481795854	706.621843673694	0	0
1006_at	21.3583563680197	18.0064497610033	0	0
1007_s_at	3553.61017727047	3298.67850647401	0	0
1008_f_at	1747.18786309088	2826.72075319194	0	0
1009_at	7311.79355120378	2852.94485939578	0	0
101_at	125.497576693466	29.4305129602799	0	0
1010_at	31.1695205045628	31.0960234489553	0	0
1011_s_at	772.619200246078	1364.32989608915	0	0
1012_at	18.8480022365555	45.4050697893158	0	0
1013_at	86.1907907063278	186.691163651008	0	0
1014_at	687.48362037686	464.621267556056	0	0
1015_s_at	93.196590392777	101.37634450876	0	0
1016_s_at	30.2031491518057	94.147502057994	0	0
1017_at	172.763821747525	360.896580460972	0	0
1018_at	616.161817509854	489.239428313574	0	0
1019_g_at	1096.35324381599	1185.31959670094	0	0
102_at	28.8492433925673	93.9263136329835	0	0
1020_s_at	698.938711241235	378.647820901962	0	0
1021_at	76.3983848236561	172.101942609254	0	0
1022_f_at	28.4602759363785	190.535307699508	0	0
1023_at	50.4803798223535	27.0817711045211	0	0
1024_at	283.977048139818	372.976422811511	0	0
1025_g_at	161.804723876841	63.4816265000572	0	0
1026_s_at	356.654866752417	387.182873668318	0	0
1027_at	164.226926925613	298.771759327662	0	0
1028_at	291.144850206781	274.707106884813	0	0
1029_s_at	15.9925111014747	44.4648459635349	0	0
103_at	186.550684952156	51.8997139359716	0	0
1030_s_at	508.047071888567	1396.26308804649	0	0
1031_at	96.279186983677	560.786324451737	0	0
1032_at	661.241151800317	769.059884432229	0	0
1033_g_at	136.189124523048	234.81754148906	0	0
1034_at	715.23843472613	715.124706424947	0	0
1035_g_at	428.70119199408	555.479099334225	0	0
1036_at	48.7733394941591	7.27442466672468	0	0
1037_at	34.1178646543035	142.066794112622	0	0
1038_s_at	338.067167336381	457.023271787719	0	0
1039_s_at	410.321221103677	605.650159303325	0	0
104_at	252.291781227624	335.720031665893	0	0
1040_s_at	43.6700987374818	216.147893196588	0	0
1041_at	25.799132759518	36.3236371010292	0	0
1042_at	13.9374809419136	61.7443764294295	0	0
1043_s_at	154.244953055906	20.9698453094497	0	0
1044_s_at	115.167588998219	342.008712351886	0	0
1045_s_at	41.8586986913554	167.012368200969	0	0
1046_at	190.509973676027	431.638706059933	0	0
1047_s_at	318.309036702673	257.323349104788	0	0
1048_at	284.109212681435	232.640810288119	0	0
1049_g_at	187.886879224356	187.715654430584	0	0
105_at	149.139731086853	200.920688571631	0	0
1050_at	19.6313110844246	2.26309941094029	0	0
1051_g_at	40.8694228346196	48.2615089460368	0	0
1052_s_at	992.921158165578	576.740615889534	0	0
1053_at	242.048465390079	319.919101158599	0	0
1054_at	67.0533863212189	109.6513553509	0	0
1055_g_at	187.94264399645	287.748177064365	0	0
1056_s_at	122.838880413059	103.954433060756	0	0
1057_at	436.014960844834	363.699178568324	0	0
1058_at	2890.89039551774	1142.88471867955	0	0
1059_at	67.443917077139	166.733075404081	0	0
106_at	27.2555540218893	75.3029931195314	0	0
1060_g_at	639.384570515487	569.30617947449	0	0
1061_at	310.497262172066	383.47138150356	0	0
1062_g_at	196.55656924228	42.3509236884505	0	0
1063_s_at	3422.43556370314	674.352951555171	0	0
